time_captured,MCD_Close
2006-01-03,33.52
2006-01-04,33.82
2006-01-05,33.86
2006-01-06,34.06
2006-01-09,34.71
2006-01-10,34.74
2006-01-11,35.34
2006-01-12,34.79
2006-01-13,34.47
2006-01-17,34.59
2006-01-18,34.66
2006-01-19,35.2
2006-01-20,35.86
2006-01-23,35.71
2006-01-24,35.85
2006-01-25,35.16
2006-01-26,34.94
2006-01-27,35.05
2006-01-30,35.02
2006-01-31,35.01
2006-02-01,35.67
2006-02-02,35.45
2006-02-03,35.97
2006-02-06,36.13
2006-02-07,36.19
2006-02-08,36.36
2006-02-09,36.3
2006-02-10,36.33
2006-02-13,36.36
2006-02-14,36.37
2006-02-15,36.01
2006-02-16,36.37
2006-02-17,36.06
2006-02-21,35.66
2006-02-22,35.95
2006-02-23,35.59
2006-02-24,35.34
2006-02-27,35.25
2006-02-28,34.91
2006-03-01,34.93
2006-03-02,34.94
2006-03-03,34.85
2006-03-06,34.67
2006-03-07,34.64
2006-03-08,34.68
2006-03-09,34.53
2006-03-10,34.65
2006-03-13,34.32
2006-03-14,34.26
2006-03-15,34.77
2006-03-16,35.06
2006-03-17,35.1
2006-03-20,34.73
2006-03-21,34.9
2006-03-22,34.8
2006-03-23,34.54
2006-03-24,34.7
2006-03-27,34.55
2006-03-28,34.31
2006-03-29,34.6
2006-03-30,34.55
2006-03-31,34.36
2006-04-03,34.73
2006-04-04,34.66
2006-04-05,34.81
2006-04-06,34.6
2006-04-07,34.88
2006-04-10,35.35
2006-04-11,35.55
2006-04-12,35.19
2006-04-13,34.85
2006-04-17,34.32
2006-04-18,34.48
2006-04-19,34.55
2006-04-20,35.08
2006-04-21,34.6
2006-04-24,34.26
2006-04-25,33.85
2006-04-26,34.11
2006-04-27,34.62
2006-04-28,34.57
2006-05-01,34.37
2006-05-02,34.41
2006-05-03,34.86
2006-05-04,34.85
2006-05-05,35.21
2006-05-08,35.39
2006-05-09,35.83
2006-05-10,35.96
2006-05-11,35.35
2006-05-12,34.88
2006-05-15,34.97
2006-05-16,34.7
2006-05-17,34.56
2006-05-18,34.44
2006-05-19,34.15
2006-05-22,34.03
2006-05-23,33.53
2006-05-24,32.95
2006-05-25,33.26
2006-05-26,32.92
2006-05-30,32.72
2006-05-31,33.17
2006-06-01,33.68
2006-06-02,33.51
2006-06-05,33.15
2006-06-06,33.31
2006-06-07,33.32
2006-06-08,33.69
2006-06-09,33.38
2006-06-12,32.93
2006-06-13,31.94
2006-06-14,32.85
2006-06-15,33.35
2006-06-16,33.14
2006-06-19,32.85
2006-06-20,32.96
2006-06-21,33.4
2006-06-22,32.55
2006-06-23,32.6
2006-06-26,32.66
2006-06-27,32.51
2006-06-28,31.97
2006-06-29,33.56
2006-06-30,33.6
2006-07-03,33.97
2006-07-05,33.76
2006-07-06,33.69
2006-07-07,33.18
2006-07-10,33.68
2006-07-11,34.28
2006-07-12,33.81
2006-07-13,33.17
2006-07-14,33.04
2006-07-17,34.72
2006-07-18,34.81
2006-07-19,35.09
2006-07-20,34.67
2006-07-21,34.7
2006-07-24,34.84
2006-07-25,34.76
2006-07-26,34.45
2006-07-27,34.73
2006-07-28,35.29
2006-07-31,35.39
2006-08-01,35.08
2006-08-02,35.59
2006-08-03,35.84
2006-08-04,35.41
2006-08-07,35.53
2006-08-08,35.16
2006-08-09,34.36
2006-08-10,34.87
2006-08-11,34.69
2006-08-14,34.72
2006-08-15,35.5
2006-08-16,35.97
2006-08-17,36.24
2006-08-18,36.18
2006-08-21,35.71
2006-08-22,35.6
2006-08-23,35.59
2006-08-24,35.88
2006-08-25,35.23
2006-08-28,35.81
2006-08-29,36.08
2006-08-30,36.15
2006-08-31,35.9
2006-09-01,36.76
2006-09-05,36.65
2006-09-06,36.22
2006-09-07,36.52
2006-09-08,37.5
2006-09-11,37.12
2006-09-12,38.2
2006-09-13,37.84
2006-09-14,37.33
2006-09-15,37.73
2006-09-18,37.42
2006-09-19,37.58
2006-09-20,37.78
2006-09-21,38.34
2006-09-22,38.21
2006-09-25,38.85
2006-09-26,39.06
2006-09-27,39.82
2006-09-28,39.59
2006-09-29,39.12
2006-10-02,39.51
2006-10-03,39.68
2006-10-04,40.0
2006-10-05,39.8
2006-10-06,40.11
2006-10-09,40.57
2006-10-10,40.84
2006-10-11,41.25
2006-10-12,42.23
2006-10-13,42.11
2006-10-16,42.12
2006-10-17,41.6
2006-10-18,41.47
2006-10-19,40.77
2006-10-20,41.47
2006-10-23,42.14
2006-10-24,42.25
2006-10-25,42.0
2006-10-26,42.11
2006-10-27,41.47
2006-10-30,41.92
2006-10-31,41.92
2006-11-01,41.86
2006-11-02,42.05
2006-11-03,41.24
2006-11-06,41.83
2006-11-07,41.67
2006-11-08,42.03
2006-11-09,42.09
2006-11-10,41.97
2006-11-13,41.51
2006-11-14,41.27
2006-11-15,41.1
2006-11-16,41.67
2006-11-17,41.82
2006-11-20,41.89
2006-11-21,42.06
2006-11-22,42.15
2006-11-24,41.88
2006-11-27,41.1
2006-11-28,41.4
2006-11-29,41.85
2006-11-30,41.97
2006-12-01,42.08
2006-12-04,42.5
2006-12-05,42.75
2006-12-06,42.96
2006-12-07,43.28
2006-12-08,43.76
2006-12-11,43.58
2006-12-12,43.04
2006-12-13,43.59
2006-12-14,43.69
2006-12-15,43.41
2006-12-18,43.48
2006-12-19,43.99
2006-12-20,43.86
2006-12-21,43.87
2006-12-22,43.57
2006-12-26,43.81
2006-12-27,44.33
2006-12-28,44.36
2006-12-29,44.33
2007-01-03,43.87
2007-01-04,43.54
2007-01-05,43.54
2007-01-08,43.71
2007-01-09,43.79
2007-01-10,44.26
2007-01-11,44.51
2007-01-12,44.22
2007-01-16,44.57
2007-01-17,44.86
2007-01-18,44.59
2007-01-19,44.81
2007-01-22,44.35
2007-01-23,44.85
2007-01-24,44.16
2007-01-25,43.0
2007-01-26,42.93
2007-01-29,43.23
2007-01-30,43.77
2007-01-31,44.35
2007-02-01,44.48
2007-02-02,44.54
2007-02-05,44.53
2007-02-06,44.77
2007-02-07,44.72
2007-02-08,44.35
2007-02-09,44.56
2007-02-12,44.73
2007-02-13,44.9
2007-02-14,45.02
2007-02-15,44.98
2007-02-16,45.32
2007-02-20,45.8
2007-02-21,45.97
2007-02-22,46.05
2007-02-23,46.01
2007-02-26,45.8
2007-02-27,44.46
2007-02-28,43.69
2007-03-01,44.1
2007-03-02,43.67
2007-03-05,42.91
2007-03-06,43.1
2007-03-07,43.1
2007-03-08,43.64
2007-03-09,44.15
2007-03-12,44.67
2007-03-13,43.48
2007-03-14,43.65
2007-03-15,43.47
2007-03-16,43.48
2007-03-19,43.87
2007-03-20,44.31
2007-03-21,44.61
2007-03-22,44.49
2007-03-23,45.05
2007-03-26,45.12
2007-03-27,45.04
2007-03-28,44.83
2007-03-29,44.87
2007-03-30,45.05
2007-04-02,44.82
2007-04-03,45.26
2007-04-04,45.23
2007-04-05,45.78
2007-04-09,46.49
2007-04-10,46.31
2007-04-11,46.44
2007-04-12,46.63
2007-04-13,47.64
2007-04-16,48.1
2007-04-17,49.01
2007-04-18,48.88
2007-04-19,48.78
2007-04-20,48.36
2007-04-23,48.64
2007-04-24,48.47
2007-04-25,48.63
2007-04-26,49.23
2007-04-27,48.95
2007-04-30,48.28
2007-05-01,49.14
2007-05-02,50.02
2007-05-03,49.91
2007-05-04,49.92
2007-05-07,49.5
2007-05-08,49.32
2007-05-09,49.84
2007-05-10,50.0
2007-05-11,50.65
2007-05-14,50.63
2007-05-15,51.27
2007-05-16,51.97
2007-05-17,52.26
2007-05-18,52.33
2007-05-21,52.27
2007-05-22,52.5
2007-05-23,51.57
2007-05-24,50.96
2007-05-25,50.9
2007-05-29,50.61
2007-05-30,50.23
2007-05-31,50.55
2007-06-01,50.95
2007-06-04,51.1
2007-06-05,50.85
2007-06-06,50.64
2007-06-07,50.21
2007-06-08,51.41
2007-06-11,51.25
2007-06-12,51.48
2007-06-13,52.19
2007-06-14,52.25
2007-06-15,52.17
2007-06-18,52.4
2007-06-19,52.48
2007-06-20,51.33
2007-06-21,51.07
2007-06-22,50.42
2007-06-25,51.3
2007-06-26,51.75
2007-06-27,51.34
2007-06-28,50.85
2007-06-29,50.76
2007-07-02,51.38
2007-07-03,51.4
2007-07-05,51.21
2007-07-06,51.43
2007-07-09,51.14
2007-07-10,50.34
2007-07-11,50.72
2007-07-12,51.65
2007-07-13,51.91
2007-07-16,52.1
2007-07-17,52.16
2007-07-18,52.2
2007-07-19,52.67
2007-07-20,52.09
2007-07-23,52.5
2007-07-24,51.55
2007-07-25,50.96
2007-07-26,49.5
2007-07-27,48.76
2007-07-30,48.39
2007-07-31,47.87
2007-08-01,48.27
2007-08-02,48.99
2007-08-03,48.52
2007-08-06,49.46
2007-08-07,49.73
2007-08-08,50.29
2007-08-09,49.93
2007-08-10,49.41
2007-08-13,48.71
2007-08-14,48.0
2007-08-15,47.56
2007-08-16,48.07
2007-08-17,47.57
2007-08-20,48.29
2007-08-21,48.47
2007-08-22,49.36
2007-08-23,49.85
2007-08-24,50.12
2007-08-27,49.47
2007-08-28,48.64
2007-08-29,49.19
2007-08-30,48.83
2007-08-31,49.25
2007-09-04,49.66
2007-09-05,49.24
2007-09-06,49.76
2007-09-07,49.24
2007-09-10,50.15
2007-09-11,51.76
2007-09-12,51.2
2007-09-13,54.3
2007-09-14,55.45
2007-09-17,54.64
2007-09-18,55.02
2007-09-19,55.41
2007-09-20,54.87
2007-09-21,54.8
2007-09-24,54.96
2007-09-25,54.15
2007-09-26,54.8
2007-09-27,54.56
2007-09-28,54.47
2007-10-01,56.01
2007-10-02,55.95
2007-10-03,56.11
2007-10-04,56.04
2007-10-05,56.37
2007-10-08,56.87
2007-10-09,57.38
2007-10-10,57.03
2007-10-11,56.25
2007-10-12,57.02
2007-10-15,56.19
2007-10-16,56.81
2007-10-17,56.96
2007-10-18,56.79
2007-10-19,56.42
2007-10-22,56.02
2007-10-23,56.97
2007-10-24,57.15
2007-10-25,58.07
2007-10-26,58.47
2007-10-29,59.18
2007-10-30,59.18
2007-10-31,59.75
2007-11-01,59.0
2007-11-02,59.02
2007-11-05,59.67
2007-11-06,59.74
2007-11-07,58.38
2007-11-08,59.37
2007-11-09,58.31
2007-11-12,58.54
2007-11-13,57.1
2007-11-14,56.7
2007-11-15,57.18
2007-11-16,58.13
2007-11-19,58.6
2007-11-20,58.48
2007-11-21,57.33
2007-11-23,57.72
2007-11-26,56.82
2007-11-27,57.46
2007-11-28,57.97
2007-11-29,58.35
2007-11-30,58.47
2007-12-03,59.83
2007-12-04,60.03
2007-12-05,59.51
2007-12-06,60.28
2007-12-07,60.16
2007-12-10,61.9
2007-12-11,63.13
2007-12-12,61.66
2007-12-13,61.51
2007-12-14,61.16
2007-12-17,59.76
2007-12-18,59.83
2007-12-19,58.85
2007-12-20,58.79
2007-12-21,60.03
2007-12-24,60.31
2007-12-26,59.88
2007-12-27,59.19
2007-12-28,59.5
2007-12-31,58.91
2008-01-02,58.1
2008-01-03,57.93
2008-01-04,57.05
2008-01-07,58.03
2008-01-08,57.08
2008-01-09,57.47
2008-01-10,58.17
2008-01-11,54.32
2008-01-14,54.96
2008-01-15,53.76
2008-01-16,52.41
2008-01-17,51.98
2008-01-18,52.4
2008-01-22,52.45
2008-01-23,53.01
2008-01-24,54.0
2008-01-25,54.1
2008-01-28,51.07
2008-01-29,50.75
2008-01-30,51.01
2008-01-31,53.58
2008-02-01,54.22
2008-02-04,53.88
2008-02-05,53.84
2008-02-06,53.73
2008-02-07,54.46
2008-02-08,55.64
2008-02-11,55.98
2008-02-12,56.37
2008-02-13,56.64
2008-02-14,55.58
2008-02-15,55.3
2008-02-19,55.67
2008-02-20,56.2
2008-02-21,55.23
2008-02-22,55.69
2008-02-25,56.05
2008-02-26,56.45
2008-02-27,55.33
2008-02-28,54.62
2008-02-29,54.11
2008-03-03,53.16
2008-03-04,53.63
2008-03-05,53.94
2008-03-06,53.04
2008-03-07,52.27
2008-03-10,53.8
2008-03-11,54.25
2008-03-12,53.7
2008-03-13,54.89
2008-03-14,54.78
2008-03-17,54.28
2008-03-18,54.85
2008-03-19,53.66
2008-03-20,54.42
2008-03-24,55.77
2008-03-25,56.2
2008-03-26,55.6
2008-03-27,55.45
2008-03-28,55.48
2008-03-31,55.77
2008-04-01,56.91
2008-04-02,56.66
2008-04-03,56.24
2008-04-04,55.72
2008-04-07,55.65
2008-04-08,55.87
2008-04-09,55.74
2008-04-10,55.85
2008-04-11,55.4
2008-04-14,55.54
2008-04-15,55.96
2008-04-16,57.18
2008-04-17,57.33
2008-04-18,58.3
2008-04-21,58.67
2008-04-22,58.35
2008-04-23,58.69
2008-04-24,59.58
2008-04-25,59.67
2008-04-28,59.59
2008-04-29,60.2
2008-04-30,59.58
2008-05-01,60.92
2008-05-02,60.95
2008-05-05,60.87
2008-05-06,60.49
2008-05-07,59.38
2008-05-08,59.77
2008-05-09,59.24
2008-05-12,60.87
2008-05-13,61.17
2008-05-14,60.44
2008-05-15,60.86
2008-05-16,60.53
2008-05-19,60.45
2008-05-20,59.68
2008-05-21,58.78
2008-05-22,58.53
2008-05-23,57.73
2008-05-27,58.11
2008-05-28,58.69
2008-05-29,59.48
2008-05-30,59.32
2008-06-02,58.55
2008-06-03,57.56
2008-06-04,57.98
2008-06-05,58.05
2008-06-06,56.95
2008-06-09,59.31
2008-06-10,59.77
2008-06-11,58.75
2008-06-12,59.34
2008-06-13,59.95
2008-06-16,59.94
2008-06-17,59.21
2008-06-18,58.21
2008-06-19,58.59
2008-06-20,57.4
2008-06-23,57.01
2008-06-24,57.02
2008-06-25,58.05
2008-06-26,56.45
2008-06-27,56.5
2008-06-30,56.22
2008-07-01,57.29
